74 x 97 = 7178
32 x 14 = 448
14 x 43 = 602
58 x 89 = 5162
2 x 77 = 154
75 x 48 = 3600
31 x 48 = 1488
2 x 39 = 78
11 x 67 = 737
65 x 87 = 5655
88 x 27 = 2376
37 x 56 = 2072
41 x 83 = 3403
73 x 80 = 5840
72 x 11 = 792
5 x 13 = 65
13 x 68 = 884
94 x 52 = 4888
28 x 21 = 588
36 x 61 = 2196
53 x 63 = 3339
82 x 15 = 1230
64 x 43 = 2752
11 x 52 = 572
50 x 4 = 200
58 x 68 = 3944
97 x 35 = 3395
23 x 31 = 713
92 x 10 = 920
78 x 27 = 2106
84 x 8 = 672
38 x 63 = 2394
75 x 19 = 1425
43 x 13 = 559
57 x 51 = 2907
34 x 3 = 102
34 x 59 = 2006
95 x 64 = 6080
86 x 48 = 4128
100 x 84 = 8400
84 x 18 = 1512
16 x 12 = 192
20 x 14 = 280
32 x 60 = 1920
76 x 30 = 2280
27 x 49 = 1323
3 x 18 = 54
94 x 15 = 1410
91 x 88 = 8008
76 x 31 = 2356
8 x 18 = 144
75 x 29 = 2175
32 x 30 = 960
48 x 79 = 3792
81 x 57 = 4617
43 x 78 = 3354
89 x 57 = 5073
53 x 55 = 2915
19 x 96 = 1824
25 x 44 = 1100
72 x 33 = 2376
28 x 82 = 2296
68 x 35 = 2380
26 x 22 = 572
84 x 95 = 7980
79 x 15 = 1185
68 x 13 = 884
22 x 98 = 2156
80 x 7 = 560
52 x 53 = 2756
48 x 53 = 2544
70 x 94 = 6580
70 x 8 = 560
72 x 49 = 3528
69 x 87 = 6003
59 x 6 = 354
43 x 71 = 3053
70 x 96 = 6720
40 x 89 = 3560
73 x 16 = 1168
9 x 76 = 684
77 x 79 = 6083
64 x 38 = 2432
78 x 81 = 6318
87 x 39 = 3393
95 x 49 = 4655
90 x 24 = 2160
65 x 9 = 585
65 x 18 = 1170
8 x 64 = 512
94 x 47 = 4418
39 x 6 = 234
61 x 58 = 3538
59 x 56 = 3304
52 x 33 = 1716
81 x 88 = 7128
46 x 76 = 3496
15 x 17 = 255
77 x 30 = 2310
22 x 18 = 396
75 x 89 = 6675
41 x 65 = 2665
49 x 77 = 3773
31 x 72 = 2232
56 x 57 = 3192
2 x 47 = 94
69 x 68 = 4692
9 x 93 = 837
6 x 82 = 492
7 x 28 = 196
5 x 17 = 85
64 x 59 = 3776
9 x 100 = 900
14 x 2 = 28
13 x 3 = 39
88 x 27 = 2376
51 x 55 = 2805
42 x 100 = 4200
2 x 59 = 118
85 x 19 = 1615
29 x 91 = 2639
32 x 17 = 544
13 x 31 = 403
3 x 5 = 15
49 x 49 = 2401
70 x 54 = 3780
8 x 41 = 328
96 x 95 = 9120
94 x 76 = 7144
46 x 8 = 368
12 x 18 = 216
23 x 41 = 943
16 x 81 = 1296
65 x 61 = 3965
54 x 69 = 3726
82 x 67 = 5494
38 x 62 = 2356
16 x 66 = 1056
47 x 84 = 3948
7 x 22 = 154
98 x 87 = 8526
28 x 94 = 2632
80 x 80 = 6400
91 x 78 = 7098
90 x 8 = 720
17 x 12 = 204
75 x 15 = 1125
56 x 36 = 2016
6 x 99 = 594
77 x 54 = 4158
55 x 100 = 5500
16 x 94 = 1504
90 x 61 = 5490
4 x 94 = 376
12 x 6 = 72
2 x 17 = 34
95 x 79 = 7505
1 x 22 = 22
15 x 52 = 780
51 x 53 = 2703
92 x 33 = 3036
89 x 30 = 2670
55 x 24 = 1320
7 x 27 = 189
79 x 87 = 6873
28 x 24 = 672
80 x 78 = 6240
72 x 54 = 3888
45 x 54 = 2430
29 x 16 = 464
73 x 42 = 3066
62 x 99 = 6138
90 x 84 = 7560
63 x 55 = 3465
36 x 4 = 144
35 x 70 = 2450
5 x 30 = 150
91 x 79 = 7189
29 x 19 = 551
77 x 53 = 4081
35 x 55 = 1925
37 x 50 = 1850
89 x 14 = 1246
71 x 52 = 3692
13 x 29 = 377
24 x 32 = 768
33 x 36 = 1188
5 x 55 = 275
10 x 31 = 310
90 x 5 = 450
53 x 6 = 318
58 x 65 = 3770
90 x 93 = 8370
72 x 78 = 5616
71 x 50 = 3550
21 x 93 = 1953
50 x 10 = 500
46 x 35 = 1610
17 x 57 = 969
12 x 49 = 588
42 x 51 = 2142
85 x 48 = 4080
78 x 86 = 6708
18 x 25 = 450
94 x 37 = 3478
74 x 47 = 3478
79 x 48 = 3792
33 x 22 = 726
9 x 46 = 414
29 x 7 = 203
54 x 35 = 1890
41 x 95 = 3895
20 x 82 = 1640
2 x 44 = 88
18 x 41 = 738
27 x 95 = 2565
29 x 19 = 551
89 x 68 = 6052
74 x 82 = 6068
11 x 64 = 704
9 x 8 = 72
88 x 44 = 3872
20 x 94 = 1880
59 x 86 = 5074
82 x 78 = 6396
40 x 67 = 2680
19 x 92 = 1748
65 x 45 = 2925
30 x 85 = 2550
81 x 13 = 1053
94 x 13 = 1222
76 x 50 = 3800
88 x 23 = 2024
71 x 25 = 1775
6 x 81 = 486
82 x 1 = 82
6 x 12 = 72
85 x 39 = 3315
5 x 63 = 315
24 x 62 = 1488
2 x 45 = 90
62 x 89 = 5518
67 x 11 = 737
44 x 68 = 2992
78 x 45 = 3510
76 x 95 = 7220
67 x 60 = 4020
74 x 18 = 1332
78 x 99 = 7722
16 x 93 = 1488
88 x 30 = 2640
39 x 26 = 1014
70 x 66 = 4620
94 x 7 = 658
82 x 16 = 1312
18 x 31 = 558
58 x 5 = 290
81 x 40 = 3240
52 x 33 = 1716
28 x 80 = 2240
89 x 67 = 5963
