97 - 58 = 39
69 - 66 = 3
75 - 47 = 28
96 - 51 = 45
63 - 60 = 3
56 - 28 = 28
36 - 6 = 30
93 - 26 = 67
99 - 94 = 5
93 - 71 = 22
68 - 9 = 59
77 - 68 = 9
1 - 0 = 1
75 - 58 = 17
90 - 74 = 16
94 - 63 = 31
77 - 10 = 67
98 - 15 = 83
68 - 34 = 34
72 - 40 = 32
88 - 75 = 13
90 - 56 = 34
78 - 20 = 58
18 - 17 = 1
95 - 94 = 1
39 - 29 = 10
82 - 32 = 50
28 - 23 = 5
69 - 43 = 26
100 - 4 = 96
29 - 26 = 3
22 - 10 = 12
66 - 58 = 8
78 - 73 = 5
100 - 21 = 79
33 - 24 = 9
8 - 1 = 7
26 - 2 = 24
83 - 27 = 56
84 - 24 = 60
100 - 47 = 53
81 - 31 = 50
85 - 47 = 38
90 - 36 = 54
57 - 34 = 23
86 - 47 = 39
98 - 69 = 29
86 - 59 = 27
91 - 31 = 60
99 - 86 = 13
85 - 27 = 58
46 - 39 = 7
73 - 56 = 17
61 - 29 = 32
9 - 5 = 4
97 - 67 = 30
85 - 61 = 24
44 - 7 = 37
81 - 23 = 58
79 - 63 = 16
80 - 9 = 71
84 - 14 = 70
55 - 46 = 9
66 - 27 = 39
43 - 18 = 25
99 - 82 = 17
44 - 12 = 32
54 - 38 = 16
23 - 10 = 13
94 - 9 = 85
87 - 34 = 53
69 - 26 = 43
91 - 74 = 17
91 - 72 = 19
91 - 35 = 56
85 - 80 = 5
22 - 12 = 10
50 - 30 = 20
71 - 20 = 51
36 - 5 = 31
90 - 25 = 65
48 - 35 = 13
49 - 11 = 38
81 - 30 = 51
92 - 23 = 69
58 - 53 = 5
51 - 5 = 46
79 - 58 = 21
75 - 56 = 19
82 - 77 = 5
91 - 4 = 87
94 - 35 = 59
61 - 18 = 43
92 - 14 = 78
60 - 30 = 30
91 - 33 = 58
97 - 39 = 58
88 - 14 = 74
73 - 38 = 35
65 - 2 = 63
90 - 16 = 74
81 - 67 = 14
63 - 11 = 52
82 - 26 = 56
90 - 36 = 54
37 - 20 = 17
88 - 67 = 21
44 - 34 = 10
87 - 73 = 14
57 - 6 = 51
98 - 71 = 27
75 - 60 = 15
52 - 3 = 49
68 - 52 = 16
68 - 66 = 2
10 - 8 = 2
97 - 13 = 84
41 - 21 = 20
42 - 8 = 34
96 - 84 = 12
76 - 18 = 58
79 - 2 = 77
64 - 22 = 42
50 - 12 = 38
36 - 17 = 19
53 - 29 = 24
80 - 71 = 9
44 - 18 = 26
81 - 24 = 57
90 - 11 = 79
80 - 30 = 50
85 - 72 = 13
16 - 4 = 12
88 - 22 = 66
57 - 25 = 32
61 - 29 = 32
42 - 6 = 36
76 - 16 = 60
91 - 5 = 86
41 - 35 = 6
86 - 64 = 22
67 - 16 = 51
87 - 9 = 78
99 - 26 = 73
59 - 22 = 37
55 - 9 = 46
60 - 45 = 15
61 - 25 = 36
91 - 67 = 24
74 - 73 = 1
73 - 42 = 31
76 - 45 = 31
58 - 23 = 35
95 - 9 = 86
63 - 42 = 21
29 - 3 = 26
91 - 85 = 6
86 - 33 = 53
98 - 32 = 66
96 - 88 = 8
88 - 6 = 82
66 - 51 = 15
53 - 10 = 43
86 - 13 = 73
49 - 30 = 19
36 - 27 = 9
66 - 55 = 11
39 - 1 = 38
70 - 64 = 6
68 - 44 = 24
42 - 27 = 15
36 - 27 = 9
76 - 31 = 45
94 - 15 = 79
87 - 30 = 57
60 - 25 = 35
24 - 17 = 7
77 - 10 = 67
39 - 14 = 25
91 - 25 = 66
44 - 38 = 6
70 - 10 = 60
56 - 3 = 53
39 - 38 = 1
93 - 49 = 44
94 - 28 = 66
63 - 32 = 31
72 - 57 = 15
33 - 27 = 6
79 - 23 = 56
68 - 64 = 4
95 - 7 = 88
97 - 79 = 18
98 - 15 = 83
88 - 34 = 54
59 - 8 = 51
93 - 45 = 48
79 - 40 = 39
45 - 21 = 24
99 - 81 = 18
47 - 40 = 7
80 - 43 = 37
55 - 17 = 38
86 - 45 = 41
54 - 13 = 41
34 - 12 = 22
69 - 10 = 59
79 - 30 = 49
85 - 7 = 78
67 - 23 = 44
66 - 40 = 26
98 - 64 = 34
67 - 56 = 11
74 - 31 = 43
75 - 2 = 73
73 - 19 = 54
68 - 41 = 27
68 - 12 = 56
62 - 52 = 10
46 - 30 = 16
100 - 44 = 56
71 - 53 = 18
90 - 54 = 36
51 - 27 = 24
40 - 27 = 13
78 - 6 = 72
75 - 44 = 31
75 - 74 = 1
85 - 36 = 49
73 - 32 = 41
98 - 62 = 36
64 - 34 = 30
74 - 68 = 6
53 - 28 = 25
26 - 8 = 18
98 - 50 = 48
18 - 8 = 10
73 - 50 = 23
59 - 38 = 21
38 - 23 = 15
74 - 13 = 61
25 - 22 = 3
65 - 18 = 47
91 - 52 = 39
96 - 33 = 63
73 - 27 = 46
77 - 8 = 69
40 - 6 = 34
80 - 3 = 77
34 - 22 = 12
29 - 19 = 10
51 - 3 = 48
19 - 9 = 10
99 - 41 = 58
77 - 68 = 9
38 - 28 = 10
82 - 55 = 27
74 - 39 = 35
86 - 57 = 29
99 - 19 = 80
51 - 44 = 7
77 - 57 = 20
72 - 53 = 19
75 - 7 = 68
83 - 8 = 75
17 - 9 = 8
49 - 43 = 6
64 - 23 = 41
67 - 7 = 60
81 - 61 = 20
95 - 40 = 55
60 - 12 = 48
74 - 26 = 48
90 - 38 = 52
95 - 74 = 21
75 - 22 = 53
86 - 28 = 58
71 - 35 = 36
38 - 26 = 12
25 - 11 = 14
28 - 14 = 14
87 - 82 = 5
94 - 22 = 72
49 - 43 = 6
49 - 47 = 2
82 - 34 = 48
95 - 71 = 24
46 - 3 = 43
89 - 63 = 26
45 - 27 = 18
74 - 1 = 73
86 - 66 = 20
94 - 12 = 82
85 - 41 = 44
74 - 28 = 46
84 - 69 = 15
69 - 57 = 12
95 - 55 = 40
76 - 4 = 72
93 - 41 = 52
55 - 40 = 15
76 - 3 = 73
78 - 35 = 43
31 - 21 = 10
99 - 76 = 23
76 - 75 = 1
92 - 51 = 41
99 - 44 = 55
63 - 26 = 37
70 - 64 = 6
45 - 7 = 38
79 - 9 = 70
85 - 76 = 9
45 - 23 = 22
90 - 78 = 12
41 - 24 = 17
69 - 12 = 57
84 - 80 = 4
47 - 11 = 36
56 - 25 = 31
86 - 59 = 27
89 - 39 = 50
58 - 16 = 42
94 - 71 = 23
52 - 19 = 33
98 - 17 = 81
97 - 32 = 65
45 - 33 = 12
94 - 78 = 16
71 - 13 = 58
66 - 37 = 29
17 - 8 = 9
79 - 70 = 9
64 - 27 = 37
52 - 40 = 12
61 - 5 = 56
76 - 67 = 9
60 - 10 = 50
67 - 58 = 9
54 - 17 = 37
81 - 60 = 21
68 - 29 = 39
83 - 57 = 26
66 - 26 = 40
83 - 27 = 56
84 - 9 = 75
63 - 16 = 47
80 - 64 = 16
60 - 11 = 49
18 - 5 = 13
72 - 69 = 3
83 - 77 = 6
71 - 37 = 34
49 - 35 = 14
61 - 24 = 37
89 - 22 = 67
99 - 84 = 15
69 - 28 = 41
86 - 58 = 28
95 - 74 = 21
46 - 43 = 3
37 - 34 = 3
56 - 10 = 46
85 - 81 = 4
27 - 13 = 14
90 - 82 = 8
59 - 6 = 53
89 - 18 = 71
56 - 26 = 30
94 - 18 = 76
61 - 22 = 39
67 - 28 = 39
85 - 61 = 24
54 - 48 = 6
60 - 37 = 23
76 - 3 = 73
75 - 71 = 4
59 - 11 = 48
62 - 56 = 6
66 - 19 = 47
70 - 54 = 16
81 - 70 = 11
69 - 45 = 24
61 - 16 = 45
55 - 32 = 23
95 - 24 = 71
46 - 25 = 21
84 - 68 = 16
18 - 10 = 8
93 - 8 = 85
75 - 49 = 26
55 - 29 = 26
79 - 10 = 69
5 - 1 = 4
95 - 67 = 28
81 - 64 = 17
82 - 68 = 14
40 - 24 = 16
88 - 30 = 58
99 - 9 = 90
78 - 40 = 38
39 - 16 = 23
86 - 74 = 12
80 - 76 = 4
20 - 13 = 7
49 - 29 = 20
75 - 50 = 25
80 - 7 = 73
46 - 42 = 4
56 - 39 = 17
83 - 1 = 82
96 - 46 = 50
48 - 3 = 45
73 - 35 = 38
64 - 48 = 16
88 - 27 = 61
25 - 10 = 15
43 - 33 = 10
29 - 16 = 13
58 - 56 = 2
75 - 72 = 3
41 - 21 = 20
46 - 12 = 34
84 - 12 = 72
97 - 79 = 18
92 - 70 = 22
24 - 11 = 13
78 - 63 = 15
87 - 46 = 41
49 - 35 = 14
82 - 78 = 4
78 - 20 = 58
44 - 27 = 17
78 - 27 = 51
90 - 3 = 87
56 - 44 = 12
89 - 8 = 81
98 - 87 = 11
50 - 37 = 13
93 - 83 = 10
82 - 63 = 19
65 - 32 = 33
35 - 33 = 2
72 - 58 = 14
84 - 77 = 7
68 - 28 = 40
42 - 7 = 35
99 - 56 = 43
96 - 73 = 23
18 - 15 = 3
45 - 24 = 21
36 - 28 = 8
35 - 26 = 9
97 - 10 = 87
89 - 59 = 30
38 - 33 = 5
47 - 16 = 31
42 - 33 = 9
62 - 16 = 46
38 - 24 = 14
71 - 4 = 67
89 - 69 = 20
53 - 9 = 44
49 - 24 = 25
92 - 62 = 30
46 - 18 = 28
45 - 41 = 4
79 - 73 = 6
40 - 8 = 32
99 - 87 = 12
60 - 10 = 50
41 - 24 = 17
91 - 11 = 80
68 - 43 = 25
96 - 9 = 87
95 - 49 = 46
38 - 14 = 24
81 - 64 = 17
59 - 21 = 38
19 - 9 = 10
85 - 22 = 63
83 - 6 = 77
83 - 12 = 71
50 - 5 = 45
20 - 3 = 17
96 - 86 = 10
94 - 44 = 50
40 - 29 = 11
58 - 38 = 20
97 - 57 = 40
32 - 2 = 30
41 - 21 = 20
76 - 14 = 62
99 - 54 = 45
57 - 50 = 7
14 - 9 = 5
77 - 75 = 2
93 - 17 = 76
100 - 41 = 59
3 - 1 = 2
81 - 26 = 55
72 - 42 = 30
91 - 14 = 77
57 - 30 = 27
96 - 7 = 89
96 - 9 = 87
27 - 4 = 23
79 - 30 = 49
75 - 44 = 31
68 - 34 = 34
59 - 56 = 3
88 - 10 = 78
78 - 39 = 39
89 - 78 = 11
99 - 1 = 98
98 - 90 = 8
92 - 17 = 75
65 - 50 = 15
87 - 44 = 43
35 - 8 = 27
75 - 38 = 37
91 - 39 = 52
83 - 56 = 27
22 - 0 = 22
76 - 39 = 37
86 - 4 = 82
18 - 5 = 13
54 - 8 = 46
80 - 43 = 37
63 - 52 = 11
69 - 27 = 42
99 - 14 = 85
94 - 92 = 2
